adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,fiscal_year,period,tas,tas_with_sub
0,69,,,2017,0,852852,10162474,0,0,0,2018,-6124583,1301,7130898,9309622,9309622,10162474,0,2017,9,000-069-2017-2018- -1301,000-069-2017-2018- -1301-000
0,69,,,2017,0,9173000,9173000,0,0,0,2018,-6245005,8104,6182720,0,0,9173000,0,2017,9,000-069-2017-2018- -8104,000-069-2017-2018- -8104-000
0,69,,,2017,0,2369000,2400326,0,0,0,2019,-215388,8107,626076,31326,31326,2400326,0,2017,9,000-069-2017-2019- -8107,000-069-2017-2019- -8107-000
0,69,,,2017,0,176530,182028,0,0,0,2019,-29378,8108,48516,5498,5498,182028,0,2017,9,000-069-2017-2019- -8108,000-069-2017-2019- -8108-000
128171,69,,X,,0,1485824,1979203,365208,0,128193,,-368791,500,573232,0,0,1979203,0,2017,9,000-069-0000-0000-X-0500,000-069-0000-0000-X-0500-000
0,69,,X,,0,0,0,0,0,0,,0,502,0,0,0,0,0,2017,9,000-069-0000-0000-X-0502,000-069-0000-0000-X-0502-000
0,69,,X,,0,0,352,352,0,0,,0,503,0,0,0,352,0,2017,9,000-069-0000-0000-X-0503,000-069-0000-0000-X-0503-000
2,69,,X,,0,0,5995,5993,0,2,,-95,505,11,0,0,5995,0,2017,9,000-069-0000-0000-X-0505,000-069-0000-0000-X-0505-000
0,69,,X,,0,0,82,82,0,0,,0,506,0,0,0,82,0,2017,9,000-069-0000-0000-X-0506,000-069-0000-0000-X-0506-000
0,69,,X,,0,0,0,0,0,0,,0,507,0,0,0,0,0,2017,9,000-069-0000-0000-X-0507,000-069-0000-0000-X-0507-000
0,69,,X,,0,0,0,0,0,0,,0,511,0,0,0,0,0,2017,9,000-069-0000-0000-X-0511,000-069-0000-0000-X-0511-000
0,69,,X,,0,0,0,0,0,0,,0,516,0,0,0,0,0,2017,9,000-069-0000-0000-X-0516,000-069-0000-0000-X-0516-000
0,69,,X,,0,0,0,0,0,0,,0,518,0,0,0,0,0,2017,9,000-069-0000-0000-X-0518,000-069-0000-0000-X-0518-000
0,69,,X,,0,0,0,0,0,0,,0,519,0,0,0,0,0,2017,9,000-069-0000-0000-X-0519,000-069-0000-0000-X-0519-000
0,69,,X,,0,0,0,0,0,0,,0,521,0,0,0,0,0,2017,9,000-069-0000-0000-X-0521,000-069-0000-0000-X-0521-000
0,69,,X,,0,0,0,0,0,0,,0,524,0,0,0,0,0,2017,9,000-069-0000-0000-X-0524,000-069-0000-0000-X-0524-000
0,69,,X,,0,0,0,0,0,0,,0,525,0,0,0,0,0,2017,9,000-069-0000-0000-X-0525,000-069-0000-0000-X-0525-000
0,69,,X,,0,0,0,0,0,0,,0,526,0,0,0,0,0,2017,9,000-069-0000-0000-X-0526,000-069-0000-0000-X-0526-000
0,69,,X,,0,0,7,7,0,0,,0,527,0,0,0,7,0,2017,9,000-069-0000-0000-X-0527,000-069-0000-0000-X-0527-000
0,69,,X,,0,0,0,0,0,0,,0,530,0,0,0,0,0,2017,9,000-069-0000-0000-X-0530,000-069-0000-0000-X-0530-000
0,69,,X,,0,0,216,216,0,0,,-216,532,216,0,0,216,0,2017,9,000-069-0000-0000-X-0532,000-069-0000-0000-X-0532-000
0,69,,X,,0,0,275,275,0,0,,0,533,0,0,0,275,0,2017,9,000-069-0000-0000-X-0533,000-069-0000-0000-X-0533-000
0,69,,X,,0,0,63,63,0,0,,0,537,0,0,0,63,0,2017,9,000-069-0000-0000-X-0537,000-069-0000-0000-X-0537-000
11179,69,,X,,0,0,112980,101802,0,2616,,-13853,538,11869,0,0,112980,0,2017,9,000-069-0000-0000-X-0538,000-069-0000-0000-X-0538-000
0,69,,X,,0,0,489,489,0,0,,0,540,0,0,0,489,0,2017,9,000-069-0000-0000-X-0540,000-069-0000-0000-X-0540-000
52,69,,X,,0,0,67,15,0,52,,0,542,0,0,0,67,0,2017,9,000-069-0000-0000-X-0542,000-069-0000-0000-X-0542-000
0,69,,X,,0,0,1375,1375,0,0,,0,549,0,0,0,1375,0,2017,9,000-069-0000-0000-X-0549,000-069-0000-0000-X-0549-000
0,69,,X,,0,0,318,318,0,0,,-174,550,318,0,0,318,0,2017,9,000-069-0000-0000-X-0550,000-069-0000-0000-X-0550-000
0,69,,X,,0,0,2130,2130,0,0,,-84,551,0,0,0,2130,0,2017,9,000-069-0000-0000-X-0551,000-069-0000-0000-X-0551-000
0,69,,X,,0,0,2037,2037,0,0,,0,553,0,0,0,2037,0,2017,9,000-069-0000-0000-X-0553,000-069-0000-0000-X-0553-000
0,69,,X,,0,0,517,517,0,0,,0,555,0,0,0,517,0,2017,9,000-069-0000-0000-X-0555,000-069-0000-0000-X-0555-000
0,69,,X,,0,0,1,1,0,0,,0,556,0,0,0,1,0,2017,9,000-069-0000-0000-X-0556,000-069-0000-0000-X-0556-000
0,69,,X,,0,0,2561,2561,0,0,,-25,557,0,0,0,2561,0,2017,9,000-069-0000-0000-X-0557,000-069-0000-0000-X-0557-000
0,69,,X,,0,0,5211,5211,0,0,,0,560,0,0,0,5211,0,2017,9,000-069-0000-0000-X-0560,000-069-0000-0000-X-0560-000
0,69,,X,,0,0,0,0,0,0,,0,561,0,0,0,0,0,2017,9,000-069-0000-0000-X-0561,000-069-0000-0000-X-0561-000
0,69,,X,,0,0,0,0,0,0,,0,564,0,0,0,0,0,2017,9,000-069-0000-0000-X-0564,000-069-0000-0000-X-0564-000
0,69,,X,,0,0,0,0,0,0,,0,565,0,0,0,0,0,2017,9,000-069-0000-0000-X-0565,000-069-0000-0000-X-0565-000
0,69,,X,,0,0,11,11,0,0,,0,566,0,0,0,11,0,2017,9,000-069-0000-0000-X-0566,000-069-0000-0000-X-0566-000
0,69,,X,,0,0,0,0,0,0,,0,567,0,0,0,0,0,2017,9,000-069-0000-0000-X-0567,000-069-0000-0000-X-0567-000
0,69,,X,,0,0,0,0,0,0,,0,568,0,0,0,0,0,2017,9,000-069-0000-0000-X-0568,000-069-0000-0000-X-0568-000
0,69,,X,,0,0,0,0,0,0,,0,569,0,0,0,0,0,2017,9,000-069-0000-0000-X-0569,000-069-0000-0000-X-0569-000
0,69,,X,,0,0,0,0,0,0,,0,570,0,0,0,0,0,2017,9,000-069-0000-0000-X-0570,000-069-0000-0000-X-0570-000
0,69,,X,,0,0,0,0,0,0,,0,571,0,0,0,0,0,2017,9,000-069-0000-0000-X-0571,000-069-0000-0000-X-0571-000
0,69,,X,,0,0,133,133,0,0,,0,572,0,0,0,133,0,2017,9,000-069-0000-0000-X-0572,000-069-0000-0000-X-0572-000
0,69,,X,,0,0,21,21,0,0,,0,573,0,0,0,21,0,2017,9,000-069-0000-0000-X-0573,000-069-0000-0000-X-0573-000
0,69,,X,,0,0,386,386,0,0,,0,574,0,0,0,386,0,2017,9,000-069-0000-0000-X-0574,000-069-0000-0000-X-0574-000
0,69,,X,,0,0,36,36,0,0,,0,575,0,0,0,36,0,2017,9,000-069-0000-0000-X-0575,000-069-0000-0000-X-0575-000
0,69,,X,,0,0,511,511,0,0,,0,580,0,0,0,511,0,2017,9,000-069-0000-0000-X-0580,000-069-0000-0000-X-0580-000
0,69,,X,,0,0,0,0,0,0,,0,581,0,0,0,0,0,2017,9,000-069-0000-0000-X-0581,000-069-0000-0000-X-0581-000
0,69,,X,,0,0,0,0,0,0,,0,582,0,0,0,0,0,2017,9,000-069-0000-0000-X-0582,000-069-0000-0000-X-0582-000
925,69,,X,,0,0,3734,2809,0,925,,-10,583,13,0,0,3734,0,2017,9,000-069-0000-0000-X-0583,000-069-0000-0000-X-0583-000
0,69,,X,,0,0,0,0,0,0,,0,584,0,0,0,0,0,2017,9,000-069-0000-0000-X-0584,000-069-0000-0000-X-0584-000
0,69,,X,,0,0,0,0,0,0,,0,585,0,0,0,0,0,2017,9,000-069-0000-0000-X-0585,000-069-0000-0000-X-0585-000
0,69,,X,,0,0,0,0,0,0,,0,586,0,0,0,0,0,2017,9,000-069-0000-0000-X-0586,000-069-0000-0000-X-0586-000
0,69,,X,,0,0,0,0,0,0,,0,587,0,0,0,0,0,2017,9,000-069-0000-0000-X-0587,000-069-0000-0000-X-0587-000
0,69,,X,,0,0,0,0,0,0,,0,590,0,0,0,0,0,2017,9,000-069-0000-0000-X-0590,000-069-0000-0000-X-0590-000
0,69,,X,,0,0,0,0,0,0,,0,592,0,0,0,0,0,2017,9,000-069-0000-0000-X-0592,000-069-0000-0000-X-0592-000
0,69,,X,,0,0,7,7,0,0,,0,593,0,0,0,7,0,2017,9,000-069-0000-0000-X-0593,000-069-0000-0000-X-0593-000
0,69,,X,,0,0,0,0,0,0,,0,594,0,0,0,0,0,2017,9,000-069-0000-0000-X-0594,000-069-0000-0000-X-0594-000
0,69,,X,,0,0,0,0,0,0,,0,597,0,0,0,0,0,2017,9,000-069-0000-0000-X-0597,000-069-0000-0000-X-0597-000
0,69,,X,,0,0,3226,3226,0,0,,-1859,598,0,0,0,3226,0,2017,9,000-069-0000-0000-X-0598,000-069-0000-0000-X-0598-000
1001,69,,X,,0,0,46930,45930,0,1,,-1020,640,1,0,0,46930,0,2017,9,000-069-0000-0000-X-0640,000-069-0000-0000-X-0640-000
225,69,,X,,0,0,21593,21369,0,225,,-1361,641,942,0,0,21593,0,2017,9,000-069-0000-0000-X-0641,000-069-0000-0000-X-0641-000
157,69,,X,,0,0,8744,8586,0,157,,0,644,0,0,0,8744,0,2017,9,000-069-0000-0000-X-0644,000-069-0000-0000-X-0644-000
0,69,,X,,0,0,0,0,0,0,,0,645,0,0,0,0,0,2017,9,000-069-0000-0000-X-0645,000-069-0000-0000-X-0645-000
0,69,,X,,0,0,0,0,0,0,,0,646,0,0,0,0,0,2017,9,000-069-0000-0000-X-0646,000-069-0000-0000-X-0646-000
0,69,,X,,0,0,0,0,0,0,,0,648,0,0,0,0,0,2017,9,000-069-0000-0000-X-0648,000-069-0000-0000-X-0648-000
0,69,,X,,0,0,0,0,0,0,,0,4270,0,0,0,0,0,2017,9,000-069-0000-0000-X-4270,000-069-0000-0000-X-4270-000
0,69,,X,,0,0,2254,2254,0,0,,0,8001,0,0,0,2254,0,2017,9,000-069-0000-0000-X-8001,000-069-0000-0000-X-8001-000
0,69,,X,,0,0,0,0,0,0,,0,8002,0,0,0,0,0,2017,9,000-069-0000-0000-X-8002,000-069-0000-0000-X-8002-000
0,69,,X,,0,0,302,302,0,0,,0,8009,0,0,0,302,0,2017,9,000-069-0000-0000-X-8009,000-069-0000-0000-X-8009-000
0,69,,X,,0,0,0,0,0,0,,0,8014,0,0,0,0,0,2017,9,000-069-0000-0000-X-8014,000-069-0000-0000-X-8014-000
0,69,,X,,0,0,2,2,0,0,,0,8017,0,0,0,2,0,2017,9,000-069-0000-0000-X-8017,000-069-0000-0000-X-8017-000
0,69,,X,,0,0,0,0,0,0,,0,8019,0,0,0,0,0,2017,9,000-069-0000-0000-X-8019,000-069-0000-0000-X-8019-000
0,69,,X,,0,0,0,0,0,0,,0,8045,0,0,0,0,0,2017,9,000-069-0000-0000-X-8045,000-069-0000-0000-X-8045-000
0,69,,X,,0,0,0,0,0,0,,0,8049,0,0,0,0,0,2017,9,000-069-0000-0000-X-8049,000-069-0000-0000-X-8049-000
6793,69,,X,,0,52811,140521,80918,0,3655,,-13194,8054,20967,0,0,140521,0,2017,9,000-069-0000-0000-X-8054,000-069-0000-0000-X-8054-000
0,69,,X,,0,0,3797,3797,0,0,,0,8057,0,0,0,3797,0,2017,9,000-069-0000-0000-X-8057,000-069-0000-0000-X-8057-000
8000,69,,X,,0,0,67134,59134,0,1,,-8853,8058,4511,0,0,67134,0,2017,9,000-069-0000-0000-X-8058,000-069-0000-0000-X-8058-000
0,69,,X,,0,0,1000,1000,0,0,,0,8061,0,0,0,1000,0,2017,9,000-069-0000-0000-X-8061,000-069-0000-0000-X-8061-000
44,69,,X,,0,0,49,5,0,44,,-2,8072,0,0,0,49,0,2017,9,000-069-0000-0000-X-8072,000-069-0000-0000-X-8072-000
0,69,,X,,0,0,0,0,0,0,,0,8076,0,0,0,0,0,2017,9,000-069-0000-0000-X-8076,000-069-0000-0000-X-8076-000
0,69,,X,,0,0,33,33,0,0,,0,8081,0,0,0,33,0,2017,9,000-069-0000-0000-X-8081,000-069-0000-0000-X-8081-000
0,69,,X,,0,0,0,0,0,0,,0,8082,0,0,0,0,0,2017,9,000-069-0000-0000-X-8082,000-069-0000-0000-X-8082-000
36938,69,,X,,0,0,50628748,24486204,25780606,0,,-29241353,8083,26509122,26105606,325000,50628748,0,2017,9,000-069-0000-0000-X-8083,000-069-0000-0000-X-8083-000
0,69,,X,,0,0,0,0,0,0,,0,8087,0,0,0,0,0,2017,9,000-069-0000-0000-X-8087,000-069-0000-0000-X-8087-000
0,69,,X,,0,1769,1769,0,0,0,,-1769,8102,1769,0,0,1769,0,2017,9,000-069-0000-0000-X-8102,000-069-0000-0000-X-8102-000
0,69,,X,,0,0,1366,1366,0,0,,0,8120,0,0,0,1366,0,2017,9,000-069-0000-0000-X-8120,000-069-0000-0000-X-8120-000
15,69,,X,,0,189,1277,1073,0,15,,-1103,8264,178,0,0,1277,0,2017,9,000-069-0000-0000-X-8264,000-069-0000-0000-X-8264-000
16,69,,X,,0,0,3159,3144,0,16,,-44,8265,44,0,0,3159,0,2017,9,000-069-0000-0000-X-8265,000-069-0000-0000-X-8265-000
0,69,,X,,0,0,0,0,0,0,,0,8309,0,0,0,0,0,2017,9,000-069-0000-0000-X-8309,000-069-0000-0000-X-8309-000
0,69,,X,,0,0,1,1,0,0,,0,8363,0,0,0,1,0,2017,9,000-069-0000-0000-X-8363,000-069-0000-0000-X-8363-000
177,69,,X,,0,0,266,89,0,177,,0,8371,0,0,0,266,0,2017,9,000-069-0000-0000-X-8371,000-069-0000-0000-X-8371-000
0,69,,X,,0,0,5,5,0,0,,0,8374,0,0,0,5,0,2017,9,000-069-0000-0000-X-8374,000-069-0000-0000-X-8374-000
0,69,,X,,0,0,0,0,0,0,,0,8375,0,0,0,0,0,2017,9,000-069-0000-0000-X-8375,000-069-0000-0000-X-8375-000
0,69,,X,,0,0,0,0,0,0,,0,8376,0,0,0,0,0,2017,9,000-069-0000-0000-X-8376,000-069-0000-0000-X-8376-000
0,69,,X,,0,0,0,0,0,0,,0,8377,0,0,0,0,0,2017,9,000-069-0000-0000-X-8377,000-069-0000-0000-X-8377-000
0,69,,X,,0,0,0,0,0,0,,0,8378,0,0,0,0,0,2017,9,000-069-0000-0000-X-8378,000-069-0000-0000-X-8378-000
0,69,,X,,0,0,0,0,0,0,,0,8380,0,0,0,0,0,2017,9,000-069-0000-0000-X-8380,000-069-0000-0000-X-8380-000
0,69,,X,,0,0,0,0,0,0,,0,8381,0,0,0,0,0,2017,9,000-069-0000-0000-X-8381,000-069-0000-0000-X-8381-000
0,69,,X,,0,0,5443,5443,0,0,,0,8382,0,0,0,5443,0,2017,9,000-069-0000-0000-X-8382,000-069-0000-0000-X-8382-000
0,69,,X,,0,0,481,481,0,0,,0,8386,0,0,0,481,0,2017,9,000-069-0000-0000-X-8386,000-069-0000-0000-X-8386-000
0,69,,X,,0,0,32,32,0,0,,0,8390,0,0,0,32,0,2017,9,000-069-0000-0000-X-8390,000-069-0000-0000-X-8390-000
0,69,,X,,0,0,0,0,0,0,,0,8402,0,0,0,0,0,2017,9,000-069-0000-0000-X-8402,000-069-0000-0000-X-8402-000
0,69,,X,,0,0,89,89,0,0,,-100,8502,0,0,0,89,0,2017,9,000-069-0000-0000-X-8502,000-069-0000-0000-X-8502-000
0,69,,X,,0,0,7,7,0,0,,0,8632,0,0,0,7,0,2017,9,000-069-0000-0000-X-8632,000-069-0000-0000-X-8632-000
0,69,,,2009,0,0,5213,5213,0,0,2012,0,504,0,0,0,5213,0,2017,9,000-069-2009-2012- -0504,000-069-2009-2012- -0504-000
1340,69,,,2010,0,0,21888,20548,0,1340,2012,-2086,548,0,0,0,21888,0,2017,9,000-069-2010-2012- -0548,000-069-2010-2012- -0548-000
0,69,,,2013,0,0,0,0,0,0,2013,0,534,0,0,0,0,0,2017,9,000-069-2013-2013- -0534,000-069-2013-2013- -0534-000
0,69,,,2014,0,0,0,0,0,0,2014,0,534,0,0,0,0,0,2017,9,000-069-2014-2014- -0534,000-069-2014-2014- -0534-000
0,69,,,2015,0,0,0,0,0,0,2015,0,534,0,0,0,0,0,2017,9,000-069-2015-2015- -0534,000-069-2015-2015- -0534-000
0,69,,,2016,0,0,0,0,0,0,2016,0,534,0,0,0,0,0,2017,9,000-069-2016-2016- -0534,000-069-2016-2016- -0534-000
0,12,69,X,,0,0,0,0,0,0,,0,1103,0,0,0,0,5,2017,9,069-012-0000-0000-X-1103,069-012-0000-0000-X-1103-005
-2687,14,69,X,,0,0,0,2687,0,0,,0,1039,0,0,0,0,5,2017,9,069-014-0000-0000-X-1039,069-014-0000-0000-X-1039-005
0,14,69,X,,0,0,0,0,0,0,,0,1110,0,0,0,0,5,2017,9,069-014-0000-0000-X-1110,069-014-0000-0000-X-1110-005
0,14,69,X,,0,0,0,0,0,0,,0,1116,0,0,0,0,5,2017,9,069-014-0000-0000-X-1116,069-014-0000-0000-X-1116-005
60,14,69,X,,0,0,913,853,0,60,,-145,5232,0,0,0,913,5,2017,9,069-014-0000-0000-X-5232,069-014-0000-0000-X-5232-005
0,14,69,X,,0,0,0,0,0,0,,0,5481,0,0,0,0,5,2017,9,069-014-0000-0000-X-5481,069-014-0000-0000-X-5481-005
0,14,69,X,,0,0,0,0,0,0,,-109,8215,0,0,0,0,5,2017,9,069-014-0000-0000-X-8215,069-014-0000-0000-X-8215-005
123,17,69,,2009,0,0,123,0,0,123,2013,0,1205,0,0,0,123,5,2017,9,069-017-2009-2013- -1205,069-017-2009-2013- -1205-005
0,17,69,,2010,0,0,443,443,0,0,2014,-982,1205,0,0,0,443,5,2017,9,069-017-2010-2014- -1205,069-017-2010-2014- -1205-005
0,17,69,,2011,0,0,0,0,0,0,2015,-77,1205,0,0,0,0,5,2017,9,069-017-2011-2015- -1205,069-017-2011-2015- -1205-005
0,17,69,,2012,0,0,0,0,0,0,2016,0,1205,0,0,0,0,5,2017,9,069-017-2012-2016- -1205,069-017-2012-2016- -1205-005
0,21,69,X,,0,0,0,0,0,0,,0,2020,0,0,0,0,5,2017,9,069-021-0000-0000-X-2020,069-021-0000-0000-X-2020-005
0,21,69,X,,0,0,0,0,0,0,,0,2065,0,0,0,0,5,2017,9,069-021-0000-0000-X-2065,069-021-0000-0000-X-2065-005
-1447,21,69,,2008,0,0,0,1447,0,0,2012,0,2050,0,0,0,0,5,2017,9,069-021-2008-2012- -2050,069-021-2008-2012- -2050-005
0,21,69,,2009,0,0,0,0,0,0,2013,0,2050,0,0,0,0,5,2017,9,069-021-2009-2013- -2050,069-021-2009-2013- -2050-005
-7,21,69,,2010,0,0,0,7,0,0,2014,0,2050,0,0,0,0,5,2017,9,069-021-2010-2014- -2050,069-021-2010-2014- -2050-005
35,21,69,,2011,0,0,79,44,0,0,2015,0,2050,0,0,0,79,5,2017,9,069-021-2011-2015- -2050,069-021-2011-2015- -2050-005
0,21,69,,2012,0,0,0,0,0,0,2016,-5758,2050,0,0,0,0,5,2017,9,069-021-2012-2016- -2050,069-021-2012-2016- -2050-005
0,21,69,,2016,0,0,5000,5000,0,0,2020,0,2086,0,0,0,5000,5,2017,9,069-021-2016-2020- -2086,069-021-2016-2020- -2086-005
251,57,69,,2012,0,0,384,133,0,251,2012,-5,3400,0,0,0,384,5,2017,9,069-057-2012-2012- -3400,069-057-2012-2012- -3400-005
54,57,69,,2013,0,0,338,285,0,54,2013,-25,3400,0,0,0,338,5,2017,9,069-057-2013-2013- -3400,069-057-2013-2013- -3400-005
867,57,69,,2014,0,0,1591,724,0,867,2014,-5,3400,0,0,0,1591,5,2017,9,069-057-2014-2014- -3400,069-057-2014-2014- -3400-005
728,57,69,,2015,0,0,991,263,0,728,2015,-417,3400,0,0,0,991,5,2017,9,069-057-2015-2015- -3400,069-057-2015-2015- -3400-005
0,57,69,,2015,0,0,1750,1750,0,0,2019,0,3300,0,0,0,1750,5,2017,9,069-057-2015-2019- -3300,069-057-2015-2019- -3300-005
501,57,69,,2016,0,0,502,1,0,501,2016,-9936,3400,424,0,0,502,5,2017,9,069-057-2016-2016- -3400,069-057-2016-2016- -3400-005
0,57,69,,2017,0,20250,20250,0,0,0,2017,-2006,3400,11986,0,0,20250,5,2017,9,069-057-2017-2017- -3400,069-057-2017-2017- -3400-005
0,69,69,X,,0,0,0,0,0,0,,0,123,0,0,0,0,5,2017,9,069-069-0000-0000-X-0123,069-069-0000-0000-X-0123-005
0,69,69,X,,0,0,0,0,0,0,,0,651,0,0,0,0,5,2017,9,069-069-0000-0000-X-0651,069-069-0000-0000-X-0651-005
