agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,by_direct_reimbursable_fun,deobligations_recov_by_pro_cpe,ending_period_of_availabil,gross_outlay_amount_by_pro_cpe,gross_outlay_amount_by_pro_fyb,gross_outlays_delivered_or_cpe,gross_outlays_delivered_or_fyb,gross_outlays_undelivered_cpe,gross_outlays_undelivered_fyb,main_account_code,object_class,obligations_delivered_orde_cpe,obligations_delivered_orde_fyb,obligations_incurred_by_pr_cpe,obligations_undelivered_or_cpe,obligations_undelivered_or_fyb,program_activity_code,program_activity_name,sub_account_code,ussgl480100_undelivered_or_cpe,ussgl480100_undelivered_or_fyb,ussgl480200_undelivered_or_cpe,ussgl480200_undelivered_or_fyb,ussgl483100_undelivered_or_cpe,ussgl483200_undelivered_or_cpe,ussgl487100_downward_adjus_cpe,ussgl487200_downward_adjus_cpe,ussgl488100_upward_adjustm_cpe,ussgl488200_upward_adjustm_cpe,ussgl490100_delivered_orde_cpe,ussgl490100_delivered_orde_fyb,ussgl490200_delivered_orde_cpe,ussgl490800_authority_outl_cpe,ussgl490800_authority_outl_fyb,ussgl493100_delivered_orde_cpe,ussgl497100_downward_adjus_cpe,ussgl497200_downward_adjus_cpe,ussgl498100_upward_adjustm_cpe,ussgl498200_upward_adjustm_cpe,fiscal_year,period,tas,tas_with_sub
69,,X,,D,6,,-637,-9,-637,0,-9,-9,1301,260,-7,-1,-571,-105,-177,1,Air Traffic Organization (ATO),0,-99,-177,-9,-9,0,0,0,0,-6,0,-7,-1,-637,0,0,0,6,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-47,0,-47,0,0,0,1301,111,0,-47,0,0,0,3,Finance & Management,0,0,0,0,0,0,0,0,0,0,0,0,-47,-47,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-15,0,-15,0,0,0,1301,121,0,-15,0,0,0,3,Finance & Management,0,0,0,0,0,0,0,0,0,0,0,0,-15,-15,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-3,0,-3,0,0,0,1301,210,0,0,-3,0,0,3,Finance & Management,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-817,0,-817,0,0,0,1301,251,0,0,-677,0,-140,3,Finance & Management,0,0,-140,0,0,0,0,0,0,0,0,677,0,-817,0,0,0,0,0,-677,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-127,-163,-290,0,0,-163,1301,252,0,0,-548,-456,-36,3,Finance & Management,0,-456,-36,0,-163,0,0,0,0,0,0,0,0,-290,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-2820,3,-1567,0,-1251,3,1301,253,-193,0,-2503,-298,-808,3,Finance & Management,0,-298,-808,-1251,3,0,0,0,0,0,0,-193,0,-1567,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-1561,0,-1561,0,0,0,1301,257,0,0,-289,-198,-1470,3,Finance & Management,0,-198,-1470,0,0,0,0,0,0,0,0,0,0,-1561,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-400,0,-400,0,0,0,1301,310,0,0,0,-242,-642,3,Finance & Management,0,-242,-642,0,0,0,0,0,0,0,0,0,0,-400,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-5,0,-5,0,0,0,1301,430,0,0,-5,0,0,3,Finance & Management,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,478,,4754,-220,4710,0,-176,-220,1301,440,-613,277,6212,-839,-3188,3,Finance & Management,0,-839,-3188,-176,-220,0,0,127,0,0,0,-316,277,4710,0,0,0,352,0,-297,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-291,0,-291,0,0,0,1301,251,0,0,0,-440,-731,4,Regulation and certification,0,-440,-731,0,0,0,0,0,0,0,0,0,0,-291,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-2856,-425,-3165,0,-117,-425,1301,252,-105,-549,-356,-1070,-3126,4,Regulation and certification,0,-1070,-3126,-117,-425,0,0,0,0,0,0,-105,-549,-3165,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-1501,0,-1501,0,0,0,1301,253,0,0,-1,0,-1500,4,Regulation and certification,0,0,-1500,0,0,0,0,0,0,0,0,1,0,-1501,0,0,0,0,0,-1,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-2409,-133,-2536,0,-5,-133,1301,257,0,0,0,-1840,-4248,4,Regulation and certification,0,-1840,-4248,-5,-133,0,0,0,0,0,0,0,0,-2536,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,-278,0,-278,0,0,0,1301,310,0,0,0,-26,-304,4,Regulation and certification,0,-26,-304,0,0,0,0,0,0,0,0,0,0,-278,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-1623,0,-1623,0,0,0,1301,0,0,0,-2229,-500,105,801,Operations (Reimbursable),0,-500,105,0,0,0,0,0,0,0,0,0,0,-1623,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,9,,-2390,0,-2390,0,0,0,1301,111,-136,-9,-2526,-9,0,801,Operations (Reimbursable),0,-9,0,0,0,0,0,9,0,0,0,-67,-9,-2390,0,0,0,0,0,-69,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-62,0,-62,0,0,0,1301,113,-6,0,-68,0,0,801,Operations (Reimbursable),0,0,0,0,0,0,0,0,0,0,0,-6,0,-62,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,14,,-289,0,-289,0,0,0,1301,115,-14,0,-303,0,0,801,Operations (Reimbursable),0,0,0,0,0,0,0,0,0,0,0,20,0,-289,0,0,0,14,0,-34,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-539,0,-539,0,0,0,1301,121,-45,0,-584,0,0,801,Operations (Reimbursable),0,0,0,0,0,0,0,0,0,0,0,-45,0,-539,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,3,,-397,0,-397,0,0,0,1301,210,0,0,-511,-125,-11,801,Operations (Reimbursable),0,-123,-11,0,0,0,0,3,0,-2,0,1,0,-397,0,0,0,0,0,-1,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,16,,-21,0,-21,0,0,0,1301,220,0,-16,-21,-16,0,801,Operations (Reimbursable),0,-16,0,0,0,0,0,16,0,0,0,2,-16,-21,0,0,0,0,0,-2,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-560,0,-560,0,0,0,1301,232,0,0,-988,-481,-54,801,Operations (Reimbursable),0,-481,-54,0,0,0,0,0,0,0,0,0,0,-560,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,117,,-439,0,-439,0,0,0,1301,233,-12,-105,-434,-129,-40,801,Operations (Reimbursable),0,-129,-40,0,0,0,0,105,0,0,0,97,-105,-439,0,0,0,12,0,-108,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,96,,-1276,0,-1276,0,0,0,1301,251,0,-88,-863,-502,-827,801,Operations (Reimbursable),0,-502,-827,0,0,0,0,95,0,0,0,0,-88,-1276,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,64,,-183,-6,-182,0,-7,-6,1301,252,-79,-1,-74,-80,-267,801,Operations (Reimbursable),0,-43,-267,-7,-6,0,0,1,0,-37,0,-15,-1,-182,0,0,0,63,0,-64,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,23,,-995,0,-995,0,0,0,1301,253,-23,-745,-244,-656,-686,801,Operations (Reimbursable),0,-656,-686,0,0,0,0,0,0,0,0,-13,-745,-995,0,0,0,22,0,-11,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,36,,-4379,0,-4379,0,0,0,1301,254,-3,0,-7198,-4863,-2047,801,Operations (Reimbursable),0,-4863,-2047,0,0,0,0,36,0,0,0,-3,0,-4379,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-831,0,-831,0,0,0,1301,257,1,1,-838,-7,0,801,Operations (Reimbursable),0,-7,0,0,0,0,0,0,0,0,0,48,1,-831,0,0,0,0,0,-47,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-37,0,-37,0,0,0,1301,260,0,0,-37,0,0,801,Operations (Reimbursable),0,0,0,0,0,0,0,0,0,0,0,2,0,-37,0,0,0,0,0,-2,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,3,,-67,0,-67,0,0,0,1301,310,0,-3,-31,-3,-37,801,Operations (Reimbursable),0,-3,-37,0,0,0,0,3,0,0,0,3,-3,-67,0,0,0,0,0,-3,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-1104,0,-1104,0,0,0,1301,320,0,0,0,-138,-1242,801,Operations (Reimbursable),0,-138,-1242,0,0,0,0,0,0,0,0,0,0,-1104,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,R,0,,-619,0,-619,0,0,0,1301,440,0,0,-619,0,0,801,Operations (Reimbursable),0,0,0,0,0,0,0,0,0,0,0,0,0,-619,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1301,069-0000-0000-X-1301-000
69,,X,,D,0,,0,0,0,0,0,0,1303,0,0,-1,1,0,0,6011,Direct,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1303,069-0000-0000-X-1303-000
69,,X,,D,0,,0,0,0,0,0,0,1303,252,-1,0,-1,0,0,6011,Direct,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-1303,069-0000-0000-X-1303-000
69,,X,, ,0,,0,0,0,0,0,0,4120,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,0,0,-532,532,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,0,-532,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-278,0,-278,0,0,0,4120,111,-23,0,-301,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,-23,0,-278,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-5,0,-5,0,0,0,4120,115,0,0,-5,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-96,0,-96,0,0,0,4120,121,-8,0,-104,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,-8,0,-96,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-9,0,-9,0,0,0,4120,210,0,0,-9,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,220,0,0,0,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,252,-5006,-4474,-624,-92,0,801,Program Administration,0,-92,0,0,0,0,0,0,0,0,0,-5006,-4474,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,260,0,0,0,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-10,0,-10,0,0,0,4120,310,0,0,-10,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,330,4474,4474,0,0,0,801,Program Administration,0,0,0,0,0,0,0,0,0,0,0,4474,4474,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-1,0,-1,0,0,0,4120,420,0,0,-1,0,0,802,Insurance Claims,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,0,0,0,19,0,-19,803,Refunds,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,111,0,-7,7,0,0,803,Refunds,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-3,0,-3,0,0,0,4120,113,0,-3,0,0,0,803,Refunds,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-1,0,-1,0,0,0,4120,121,0,-4,3,0,0,803,Refunds,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-3,0,-3,0,0,0,4120,210,0,0,0,-6,-9,803,Refunds,0,-6,-9,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,220,-1,-1,0,0,0,803,Refunds,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,233,0,0,0,0,0,803,Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,-131,0,-131,0,0,0,4120,252,-130,0,-20,-541,-783,803,Refunds,0,-541,-783,0,0,0,0,0,0,0,0,-130,0,-131,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,D,0,,0,0,0,0,0,0,4120,310,0,0,0,-2,-2,803,Refunds,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4120,069-0000-0000-X-4120-000
69,,X,,R,0,,0,0,0,0,0,0,4562,0,1,1,0,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,2,,-15992,0,-15992,0,0,0,4562,111,-1936,-1346,-16582,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,-1936,-1346,-15992,0,0,0,0,2,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-27,0,-27,0,0,0,4562,113,119,97,-6,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,119,97,-27,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-454,0,-454,0,0,0,4562,115,16,-1,-436,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,16,-1,-454,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,371,0,371,0,0,0,4562,118,0,0,371,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-6296,0,-6296,0,0,0,4562,121,-433,-246,-6483,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,-433,-246,-6296,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,1,,-156,2,-159,0,4,2,4562,210,-2,-1,-152,-13,-19,801,Accounting Services,0,-12,-19,4,2,0,0,1,0,-1,0,-2,-1,-159,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-5,0,-5,0,0,0,4562,220,2,2,-5,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,3,2,-5,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-12,0,-12,0,0,0,4562,233,0,0,-12,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-26,0,-14,0,-12,0,4562,240,0,0,-26,0,0,801,Accounting Services,0,0,0,-12,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-56,0,-56,0,0,0,4562,251,0,-5,-18,-2,-35,801,Accounting Services,0,-2,-35,0,0,0,0,0,0,0,0,0,-5,-56,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,6,,-3022,0,-3022,0,0,0,4562,252,-60,-196,-2664,-205,-427,801,Accounting Services,0,-134,-427,0,0,0,0,1,0,-71,0,-39,-196,-3022,0,0,0,5,0,-21,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,244,,-4786,0,-4603,0,-182,0,4562,253,-156,-506,-4707,-2705,-2434,801,Accounting Services,0,-2701,-2434,-182,0,0,0,244,0,-4,0,-156,-506,-4603,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-181,0,-181,0,0,0,4562,254,0,0,-182,-2,-1,801,Accounting Services,0,-2,-1,0,0,0,0,0,0,0,0,1,0,-181,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-36,-353,-265,0,-124,-353,4562,257,-424,3,-37,409,-18,801,Accounting Services,0,409,-18,-124,-353,0,0,0,0,0,0,-424,3,-265,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-68,0,-68,0,0,0,4562,260,38,39,-69,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,49,39,-68,0,0,0,0,0,-11,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-66,0,-66,0,0,0,4562,310,33,33,-378,-312,0,801,Accounting Services,0,-312,0,0,0,0,0,0,0,0,0,87,33,-66,0,0,0,0,0,-54,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,0,0,0,0,0,0,4562,420,0,0,0,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,1918,0,1918,0,0,0,4562,440,0,0,1918,0,0,801,Accounting Services,0,0,0,0,0,0,0,0,0,0,0,0,0,1918,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,2,,-23087,0,-23087,0,0,0,4562,111,-3078,-2375,-23790,0,0,804,Information Services,0,0,0,0,0,0,0,0,0,0,0,-3078,-2375,-23087,0,0,0,0,2,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-57,0,-57,0,0,0,4562,113,66,53,-45,0,0,804,Information Services,0,0,0,0,0,0,0,0,0,0,0,66,53,-57,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-665,0,-665,0,0,0,4562,115,-30,-5,-691,0,0,804,Information Services,0,0,0,0,0,0,0,0,0,0,0,-30,-5,-665,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,0,,-8321,0,-8321,0,0,0,4562,121,-552,-336,-8537,0,0,804,Information Services,0,0,0,0,0,0,0,0,0,0,0,-552,-336,-8321,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,9,,-218,0,-218,0,0,0,4562,210,9,11,-235,-29,-15,804,Information Services,0,-27,-15,0,0,0,0,8,0,-2,0,9,11,-218,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,18,,-86,0,-86,0,0,0,4562,220,3,2,-37,-18,-66,804,Information Services,0,-18,-66,0,0,0,0,18,0,0,0,5,2,-86,0,0,0,0,0,-2,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,91,,-6168,0,-6168,0,0,0,4562,233,-1782,-972,-7943,-1431,-465,804,Information Services,0,-906,-465,0,0,0,0,78,0,-524,0,-1782,-972,-6168,0,0,0,4,9,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,5,,-234,0,-234,0,0,0,4562,240,0,0,-126,-15,-123,804,Information Services,0,-15,-123,0,0,0,0,5,0,0,0,0,0,-234,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,63,,-54,0,-54,0,0,0,4562,251,0,-29,-108,-147,-63,804,Information Services,0,-147,-63,0,0,0,0,63,0,0,0,0,-29,-54,0,0,0,0,0,0,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
69,,X,,R,6,,-7757,-72,-7370,0,-459,-72,4562,252,-1034,-302,-8439,-4571,-4622,804,Information Services,0,-4571,-4622,-459,-72,0,0,6,0,0,0,-1030,-302,-7370,0,0,0,0,0,-4,0,2017,9,069-0000-0000-X-4562,069-0000-0000-X-4562-000
